iter	Logloss
0	0.687770216
1	0.6831237942
2	0.6794680226
3	0.677602866
4	0.6754000418
5	0.6736159196
6	0.6718361048
7	0.6706258699
8	0.6695293915
9	0.6678657598
10	0.6661614468
11	0.6640149921
12	0.6631642117
13	0.6613863298
14	0.6599297817
15	0.6588216738
16	0.6579029444
17	0.6566840045
18	0.6549609595
19	0.6538587862
20	0.6526038653
21	0.6516314421
22	0.650963714
23	0.6496110164
24	0.6483984573
25	0.6472880315
26	0.6459894436
27	0.6444137841
28	0.6427517342
29	0.6411316481
30	0.6388984381
31	0.6373459986
32	0.6369067275
33	0.6359249664
34	0.6349443242
35	0.6340405488
36	0.6329111978
37	0.6323498178
38	0.6316468952
39	0.6310414863
40	0.629372608
41	0.6285889821
42	0.6272239124
43	0.6264789826
44	0.6254009614
45	0.6247174563
46	0.6238252623
47	0.6234668525
48	0.6225246237
49	0.6216277356
