iter	Passed	Remaining
0	177	8708
1	212	5088
2	250	3928
3	285	3283
4	323	2913
5	357	2618
6	390	2396
7	423	2222
8	457	2084
9	490	1963
10	524	1857
11	557	1764
12	590	1679
13	625	1608
14	664	1550
15	702	1493
16	743	1442
17	776	1379
18	809	1320
19	841	1262
20	874	1206
21	905	1152
22	938	1101
23	970	1050
24	1002	1002
25	1034	954
26	1066	908
27	1098	863
28	1133	820
29	1168	778
30	1200	736
31	1233	694
32	1266	652
33	1298	611
34	1330	570
35	1362	529
36	1394	490
37	1425	450
38	1457	411
39	1489	372
40	1521	333
41	1553	295
42	1588	258
43	1621	221
44	1655	183
45	1688	146
46	1721	109
47	1753	73
48	1786	36
49	1818	0
